Date,Time,CO2,Tair,Pressure,dC,dt,SRL,SRQ
23/08/19,14:18:33,472,25.6,987,88,128,0.6853,0.6216
23/08/19,14:18:34,472,25.6,987,89,129,0.6858,0.6225
23/08/19,14:18:35,473,25.6,987,89,130,0.6859,0.6235
23/08/19,14:18:36,473,25.6,987,90,131,0.6862,0.6251
23/08/19,14:18:37,474,25.6,987,91,132,0.6863,0.6263
23/08/19,14:18:38,475,25.6,987,92,133,0.6866,0.6273
23/08/19,14:18:39,476,25.6,987,93,134,0.6869,0.6275
23/08/19,14:18:40,478,25.6,987,94,135,0.6875,0.6274
23/08/19,14:18:41,479,25.6,987,95,136,0.688,0.627
23/08/19,14:18:42,479,25.6,987,96,137,0.6887,0.6264
23/08/19,14:18:43,480,25.6,987,97,138,0.6892,0.6259
23/08/19,14:18:44,481,25.6,987,97,139,0.6898,0.6258
23/08/19,14:18:45,481,25.6,987,98,140,0.6901,0.6259
23/08/19,14:18:46,482,25.6,987,98,141,0.6903,0.6264
23/08/19,14:18:47,482,25.6,987,99,142,0.6905,0.6271
23/08/19,14:18:48,483,25.6,987,100,143,0.6908,0.6274
23/08/19,14:18:49,484,25.6,987,101,144,0.6912,0.6275
23/08/19,14:18:50,485,25.6,987,102,145,0.6917,0.6278
23/08/19,14:18:51,486,25.6,987,103,146,0.692,0.6278
23/08/19,14:18:52,487,25.6,987,103,147,0.6926,0.628
23/08/19,14:18:53,487,25.6,987,104,148,0.6928,0.6283
23/08/19,14:18:54,488,25.6,987,105,149,0.6931,0.6286
23/08/19,14:18:55,489,25.6,987,105,150,0.6934,0.6288
23/08/19,14:18:56,490,25.6,987,106,151,0.6937,0.6291
23/08/19,14:18:57,491,25.6,987,107,152,0.6941,0.6292
23/08/19,14:18:58,492,25.6,987,108,153,0.6945,0.6294
23/08/19,14:18:59,492,25.6,987,109,154,0.6949,0.6294
23/08/19,14:19:00,493,25.6,987,109,155,0.6954,0.6297
23/08/19,14:19:01,494,25.6,987,110,156,0.6956,0.63
23/08/19,14:19:02,494,25.6,987,110,157,0.6958,0.6308
23/08/19,14:19:03,495,25.6,987,111,158,0.696,0.6316
23/08/19,14:19:04,496,25.6,987,112,159,0.6962,0.6325
23/08/19,14:19:05,497,25.6,987,113,160,0.6965,0.633
23/08/19,14:19:06,497,25.6,987,114,161,0.6969,0.6338
23/08/19,14:19:07,498,25.6,987,114,162,0.6971,0.6345
23/08/19,14:19:08,498,25.6,987,115,163,0.6972,0.6354
23/08/19,14:19:09,499,25.6,987,115,164,0.6972,0.6365
23/08/19,14:19:10,500,25.6,987,116,165,0.6972,0.6376
23/08/19,14:19:11,500,25.6,987,117,166,0.6971,0.6388
23/08/19,14:19:12,501,25.6,987,117,167,0.6972,0.6402
23/08/19,14:19:13,501,25.6,987,118,168,0.6971,0.6416
23/08/19,14:19:14,502,25.6,987,118,169,0.697,0.6432
23/08/19,14:19:15,502,25.6,987,119,170,0.6969,0.6447
23/08/19,14:19:16,503,25.6,987,120,171,0.6969,0.6464
23/08/19,14:19:17,504,25.6,987,121,172,0.6968,0.6477
23/08/19,14:19:18,504,25.6,987,121,173,0.6966,0.6493
23/08/19,14:19:19,505,25.6,987,121,174,0.6963,0.6512
23/08/19,14:19:20,505,25.6,987,122,175,0.6962,0.6532
23/08/19,14:19:21,506,25.6,987,123,176,0.6959,0.655
23/08/19,14:19:22,507,25.6,987,123,177,0.6956,0.6566
23/08/19,14:19:23,508,25.6,987,124,178,0.6954,0.6581
23/08/19,14:19:24,509,25.6,987,125,179,0.6952,0.6593
23/08/19,14:19:25,509,25.6,987,126,180,0.695,0.6606
23/08/19,14:19:26,510,25.6,987,126,181,0.6949,0.6622
23/08/19,14:19:27,511,25.6,987,127,182,0.6946,0.6635
23/08/19,14:19:28,512,25.6,987,128,183,0.6945,0.6646
23/08/19,14:19:29,513,25.6,987,129,184,0.6944,0.6654
23/08/19,14:19:30,513,25.6,987,130,185,0.6944,0.6662
23/08/19,14:19:31,514,25.6,987,131,186,0.6943,0.6668
23/08/19,14:19:32,515,25.6,987,131,187,0.6944,0.6676
23/08/19,14:19:33,516,25.6,987,132,188,0.6943,0.6683
23/08/19,14:19:34,516,25.6,987,133,189,0.6942,0.669
23/08/19,14:19:35,517,25.6,987,134,190,0.6941,0.6696
23/08/19,14:19:37,518,25.6,987,134,191,0.6942,0.6702
23/08/19,14:19:38,519,25.6,987,135,192,0.6941,0.6709
23/08/19,14:19:39,519,25.6,987,136,193,0.6942,0.6718
23/08/19,14:19:40,520,25.6,987,136,194,0.6941,0.6726
23/08/19,14:19:41,520,25.6,987,137,195,0.6939,0.6734
23/08/19,14:19:42,521,25.6,987,138,196,0.6937,0.6741
23/08/19,14:19:43,522,25.6,987,139,197,0.6937,0.6745
23/08/19,14:19:44,523,25.6,987,140,198,0.6937,0.6748
23/08/19,14:19:45,524,25.6,987,140,199,0.6937,0.6751
23/08/19,14:19:46,525,25.6,987,141,200,0.6936,0.6753
23/08/19,14:19:47,526,25.6,987,142,201,0.6938,0.6754
23/08/19,14:19:48,527,25.6,987,143,202,0.6938,0.6754
23/08/19,14:19:49,527,25.6,987,144,203,0.6938,0.6753
23/08/19,14:19:50,528,25.6,987,144,204,0.6937,0.6755
23/08/19,14:19:51,528,25.6,987,145,205,0.6936,0.6758
23/08/19,14:19:52,529,25.6,986.9,145,206,0.6936,0.6762
23/08/19,14:19:53,529,25.6,986.9,146,207,0.6936,0.6768
23/08/19,14:19:54,530,25.6,986.9,147,208,0.6935,0.6773
23/08/19,14:19:55,531,25.6,986.9,147,209,0.6934,0.6777
23/08/19,14:19:56,532,25.6,986.9,148,210,0.6933,0.6782
