"Dataset that combines stations from the National Soil Moistuer Network, National Ecological Observatory Network, AmeriFlux Network, and the INternational Soil Moisture Network for the USA.",,,,
station,network,latitude,longitude,source
Humnoke Farm Rice Field – Field C,AmeriFlux,34.5888,-91.7517,AMERIFLUX
Hill Slough Marsh,AmeriFlux,38.2368,-122.0212,AMERIFLUX
Fermi National Accelerator Laboratory- Batavia (Agricultural site),AmeriFlux,41.8593,-88.2227,AMERIFLUX
Fermi National Accelerator Laboratory- Batavia (Prairie site),AmeriFlux,41.8406,-88.241,AMERIFLUX
Jornada Experimental Range Bajada Site,AmeriFlux,32.582,-106.635,AMERIFLUX
Jornada Experimental Range Mixed Shrubland,AmeriFlux,32.5849,-106.6032,AMERIFLUX
Kansas Field Station,AmeriFlux,39.0561,-95.1907,AMERIFLUX
KBS Lux Arbor Reserve Corn,AmeriFlux,42.4847,-85.4422,AMERIFLUX
KBS Lux Arbor Reserve Switchgrass,AmeriFlux,42.4768,-85.4468,AMERIFLUX
KBS Lux Arbor Reserve Prairie,AmeriFlux,42.4735,-85.4473,AMERIFLUX
Kansas Land Institute,AmeriFlux,38.7745,-97.5684,AMERIFLUX
KBS Marshall Farms Corn,AmeriFlux,42.4376,-85.3287,AMERIFLUX
KBS Marshall Farms Prairie,AmeriFlux,42.4441,-85.3098,AMERIFLUX
KBS Marshall Farms Switchgrass,AmeriFlux,42.4464,-85.3105,AMERIFLUX
KBS Marshall Farms Smooth Brome Grass (Ref),AmeriFlux,42.4423,-85.3301,AMERIFLUX
Konza Prairie LTER (KNZ),AmeriFlux,39.0824,-96.5603,AMERIFLUX
Metolius mature ponderosa pine,AmeriFlux,44.4523,-121.5574,AMERIFLUX
Metolius Young Pine Burn,AmeriFlux,44.3233,-121.6078,AMERIFLUX
Morgan Monroe State Forest,AmeriFlux,39.3232,-86.4131,AMERIFLUX
LTAR CMRB Field 1 (CMRB ASP),AmeriFlux,39.2298,-92.1167,AMERIFLUX
LTAR CMRB Tucker Prairie (CMRB TP),AmeriFlux,38.9488,-91.9945,AMERIFLUX
LTAR CMRB Field 3 (CMRB BAU),AmeriFlux,39.2311,-92.1497,AMERIFLUX
Missouri Ozark Site,AmeriFlux,38.7441,-92.2,AMERIFLUX
Mt Bigelow,AmeriFlux,32.416,-110.7256,AMERIFLUX
Jackson Agricultural Field,AmeriFlux,42.2143,-84.8539,AMERIFLUX
NC_Loblolly Plantation,AmeriFlux,35.803,-76.6685,AMERIFLUX
NC_AlligatorRiver,AmeriFlux,35.7879,-75.9038,AMERIFLUX
Mead - irrigated continuous maize site,AmeriFlux,41.1651,-96.4766,AMERIFLUX
Mead - irrigated maize-soybean rotation site,AmeriFlux,41.1649,-96.4701,AMERIFLUX
Mead - rainfed maize-soybean rotation site,AmeriFlux,41.1797,-96.4397,AMERIFLUX
Niwot Ridge Forest (LTER NWT1),AmeriFlux,40.0329,-105.5464,AMERIFLUX
Niwot Ridge Alpine (T-Van West),AmeriFlux,40.052,-105.5864,AMERIFLUX
Florida pine flatwoods,AmeriFlux,27.3836,-81.9509,AMERIFLUX
"Florida, Paspalum notatum pasture",AmeriFlux,27.3944,-81.951,AMERIFLUX
Park Falls/WLEF,AmeriFlux,45.9459,-90.2723,AMERIFLUX
Arkansas Corn Farm,AmeriFlux,34.4159,-91.6733,AMERIFLUX
Butte County Rice Farm,AmeriFlux,39.5782,-121.8579,AMERIFLUX
Glenn County Organic Rice Farm,AmeriFlux,39.6805,-122.0026,AMERIFLUX
Desha County Rice Farm,AmeriFlux,33.6216,-91.4306,AMERIFLUX
RCEW Low Sagebrush,AmeriFlux,43.1439,-116.7356,AMERIFLUX
RCEW Mountain Big Sagebrush,AmeriFlux,43.0645,-116.7486,AMERIFLUX
Rosemount Prairie,AmeriFlux,44.6781,-93.0723,AMERIFLUX
Rosemount I18_South,AmeriFlux,44.691,-93.0576,AMERIFLUX
Rosemount I18_North,AmeriFlux,44.6946,-93.0578,AMERIFLUX
RCEW Upper Sheep Prescibed Fire,AmeriFlux,43.1207,-116.7231,AMERIFLUX
Reynolds Creek Wyoming big sagebrush,AmeriFlux,43.1675,-116.7132,AMERIFLUX
Southern California Climate Gradient - Sonoran Desert,AmeriFlux,33.6518,-116.3721,AMERIFLUX
Southern California Climate Gradient - Oak/Pine Forest,AmeriFlux,33.8079,-116.7717,AMERIFLUX
Southern California Climate Gradient - Grassland,AmeriFlux,33.7365,-117.6946,AMERIFLUX
Southern California Climate Gradient - Coastal Sage,AmeriFlux,33.7343,-117.6959,AMERIFLUX
Southern California Climate Gradient - Pinyon/Juniper Woodland,AmeriFlux,33.6047,-116.4527,AMERIFLUX
Nebraska SandHills Dry Valley,AmeriFlux,42.0693,-101.4072,AMERIFLUX
Sioux Falls Portable,AmeriFlux,43.2408,-96.902,AMERIFLUX
Silas Little- New Jersey,AmeriFlux,39.9138,-74.596,AMERIFLUX
Sky Oaks- Old Stand,AmeriFlux,33.3738,-116.6228,AMERIFLUX
Sky Oaks- Young Stand,AmeriFlux,33.3771,-116.6226,AMERIFLUX
Sky Oaks- New Stand,AmeriFlux,33.3845,-116.6406,AMERIFLUX
Santa Rita Grassland,AmeriFlux,31.7894,-110.8277,AMERIFLUX
Santa Rita Mesquite,AmeriFlux,31.8214,-110.8661,AMERIFLUX
Susquehanna Shale Hills Critical Zone Observatory,AmeriFlux,40.6658,-77.9041,AMERIFLUX
St Jones Reserve,AmeriFlux,39.0882,-75.4372,AMERIFLUX
Sylvania Wilderness Area,AmeriFlux,46.242,-89.3477,AMERIFLUX
Tonzi Ranch,AmeriFlux,38.4309,-120.966,AMERIFLUX
LTAR UCB (Upper Chesapeake Bay) EC1,AmeriFlux,40.7536,-78.0056,AMERIFLUX
LTAR UCB (Upper Chesapeake Bay) EC2,AmeriFlux,40.7559,-77.9998,AMERIFLUX
Univ. of Mich. Biological Station,AmeriFlux,45.5598,-84.7138,AMERIFLUX
UMBS Disturbance,AmeriFlux,45.5625,-84.6975,AMERIFLUX
Vaira Ranch- Ione,AmeriFlux,38.4133,-120.9508,AMERIFLUX
Willow Creek,AmeriFlux,45.8059,-90.0799,AMERIFLUX
Walnut Gulch Lucky Hills Shrub,AmeriFlux,31.7438,-110.0522,AMERIFLUX
Walnut Gulch Kendall Grasslands,AmeriFlux,31.7365,-109.9419,AMERIFLUX
Adamsville,Delaware EOS,38.833,-75.683,NSMN
Atglen,Delaware EOS,39.917,-75.983,NSMN
Bethany_Beach,Delaware EOS,38.55,-75.067,NSMN
Blackbird,Delaware EOS,39.383,-75.633,NSMN
Blackiston,Delaware EOS,39.233,-75.733,NSMN
Bridgeville,Delaware EOS,38.717,-75.583,NSMN
Chester_Springs,Delaware EOS,40.083,-75.617,NSMN
Claymont,Delaware EOS,39.817,-75.45,NSMN
Dagsboro,Delaware EOS,38.55,-75.233,NSMN
Dover,Delaware EOS,39.15,-75.5,NSMN
Ellendale,Delaware EOS,38.8,-75.433,NSMN
Fair_Hill,Delaware EOS,39.717,-75.833,NSMN
Georgetown,Delaware EOS,38.633,-75.45,NSMN
Glasgow,Delaware EOS,39.6,-75.733,NSMN
Glenmoore,Delaware EOS,40.067,-75.783,NSMN
Greenville,Delaware EOS,39.8,-75.6,NSMN
Gumboro,Delaware EOS,38.483,-75.367,NSMN
Harbeson,Delaware EOS,38.683,-75.25,NSMN
Harrington,Delaware EOS,38.917,-75.583,NSMN
Hockessin,Delaware EOS,39.783,-75.7,NSMN
Hockessin,Delaware EOS,39.783,-75.65,NSMN
Jones_Crossroads,Delaware EOS,38.6,-75.433,NSMN
Kennett_Square,Delaware EOS,39.817,-75.733,NSMN
Kennett_Square,Delaware EOS,39.867,-75.683,NSMN
Kitts_Hummock,Delaware EOS,39.083,-75.433,NSMN
Laurel,Delaware EOS,38.533,-75.6,NSMN
Long_Neck,Delaware EOS,38.617,-75.117,NSMN
Marshallton,Delaware EOS,39.95,-75.717,NSMN
Milford,Delaware EOS,38.883,-75.433,NSMN
Newark,Delaware EOS,39.667,-75.75,NSMN
Nottingham,Delaware EOS,39.75,-76.05,NSMN
Sandtown,Delaware EOS,39.033,-75.733,NSMN
Seaford,Delaware EOS,38.65,-75.7,NSMN
Smyrna,Delaware EOS,39.283,-75.583,NSMN
Stockley,Delaware EOS,38.633,-75.317,NSMN
Townsend,Delaware EOS,39.383,-75.75,NSMN
Warwick,Delaware EOS,40.167,-75.733,NSMN
West_Chester,Delaware EOS,39.967,-75.583,NSMN
West_Grove,Delaware EOS,39.867,-75.85,NSMN
White_Clay_Creek,Delaware EOS,39.733,-75.733,NSMN
Wilmington,Delaware EOS,39.733,-75.517,NSMN
Woodside,Delaware EOS,39.067,-75.633,NSMN
Alapaha_Range_Grazing_Unit_-_Blueberry_Farm,Georgia AEMN,31.34,-83.24,NSMN
Albany_State_University,Georgia AEMN,31.53,-84.37,NSMN
Alma_-_Bacon_County_Airport,Georgia AEMN,31.54,-82.51,NSMN
Atlanta_Athletic_Club_Golf_Course,Georgia AEMN,34,-84.19,NSMN
Attapulgus_Research_and_Education_Center,Georgia AEMN,30.76,-84.49,NSMN
Bledsoe_Research_Farm,Georgia AEMN,33.18,-84.41,NSMN
Booth_Berry_Farms,Georgia AEMN,31.02,-82.66,NSMN
Boston_Tractor_Co._Inc.,Georgia AEMN,30.79,-83.67,NSMN
Bowen_Research_Farm_at_the_Coastal_Plain_Experiment_Station,Georgia AEMN,31.48,-83.44,NSMN
Bulloch_County_Board_of_Education_Maintenance_&_Transportation_Annex,Georgia AEMN,32.49,-81.81,NSMN
Butler_Farm,Georgia AEMN,34.76,-85.38,NSMN
Butler_Place,Georgia AEMN,32.55,-84.19,NSMN
Callaway_Gardens,Georgia AEMN,32.84,-84.84,NSMN
Catahoula_Farms,Georgia AEMN,32.02,-83.94,NSMN
Center_for_Applied_Nursery_Research_McCorkle_Nurseries,Georgia AEMN,33.37,-82.4,NSMN
Central_Georgia_Research_and_Education_Center,Georgia AEMN,33.4,-83.49,NSMN
Cherokee_Town_and_Country_Club,Georgia AEMN,33.99,-84.36,NSMN
Clyde_Kirkland_Farm,Georgia AEMN,31.49,-82.79,NSMN
Coastal_Georgia_Botanical_Gardens,Georgia AEMN,32,-81.27,NSMN
Coastal_Plain_Experiment_Station,Georgia AEMN,31.49,-83.53,NSMN
Coffee_Farms,Georgia AEMN,31.92,-83.63,NSMN
College_of_Coastal_Georgia,Georgia AEMN,31.19,-81.48,NSMN
Colquitt_Electric_Membership_Corporation,Georgia AEMN,30.82,-83.32,NSMN
County_Commission,Georgia AEMN,33.28,-82.97,NSMN
Dempsey_Research_Farm,Georgia AEMN,33.25,-84.3,NSMN
Donalsonville_Municipal_Airport,Georgia AEMN,31.02,-84.88,NSMN
Etowah_River_Treatment_Facility,Georgia AEMN,34.29,-84.38,NSMN
Fort_Valley_State_University,Georgia AEMN,32.53,-83.89,NSMN
Gainesville_State_College,Georgia AEMN,34.24,-83.87,NSMN
Georgia_Mountain_Research_and_Education_Center,Georgia AEMN,34.84,-83.93,NSMN
Golf_Club_of_Georgia,Georgia AEMN,34.09,-84.22,NSMN
Griffin_Campus,Georgia AEMN,33.26,-84.28,NSMN
Griggs_Farm,Georgia AEMN,32.26,-83.66,NSMN
Hardin_Farm,Georgia AEMN,31.83,-83.82,NSMN
Hillcrest_Orchards,Georgia AEMN,34.62,-84.37,NSMN
Hooks-Hanner_Environmental_Resource_Center_-_USDA-ARS_National_Peanut_Research_Labor,Georgia AEMN,31.73,-84.4,NSMN
Horticulture_Research_Farm,Georgia AEMN,33.89,-83.42,NSMN
Iron_Horse_Farm,Georgia AEMN,33.72,-83.31,NSMN
J._Phil_Campbell_Sr._Natural_Resources_Conservation_Center,Georgia AEMN,33.87,-83.45,NSMN
Jaemor_Farms,Georgia AEMN,34.42,-83.65,NSMN
John_A._Flowers_Blueberry_Farm,Georgia AEMN,31.63,-82.05,NSMN
Joseph_W._Jones_Ecological_Research_Center,Georgia AEMN,31.22,-84.48,NSMN
Lake_Lanier,Georgia AEMN,34.35,-83.79,NSMN
Laurens_County_Emergency_Management_Service_and_911_Center,Georgia AEMN,32.5,-82.92,NSMN
Madison_County_Emergency_Medical_Services,Georgia AEMN,34.15,-83.24,NSMN
Marine_Corps_Logistics_Base_Albany,Georgia AEMN,31.55,-84.05,NSMN
Mercier_Orchards,Georgia AEMN,34.89,-84.34,NSMN
Miles_Berry_Farm,Georgia AEMN,31.75,-82.44,NSMN
Mixon_Farms,Georgia AEMN,31.21,-82.5,NSMN
Multi-Crop_Irrigation_Research_Farm_-_USDA-ARS_National_Peanut_Research_Laboratory,Georgia AEMN,31.74,-84.61,NSMN
Murphy_Farm,Georgia AEMN,32.19,-83.88,NSMN
Newman_Farm,Georgia AEMN,31.79,-84.49,NSMN
Northwest_Georgia_Research_and_Education_Center,Georgia AEMN,34.56,-84.82,NSMN
Northwest_Georgia_Research_and_Education_Center,Georgia AEMN,34.34,-85.12,NSMN
Ossabaw_Island,Georgia AEMN,31.84,-81.09,NSMN
Paulding_County_High_School,Georgia AEMN,33.89,-84.84,NSMN
Peavy_Farm,Georgia AEMN,32.11,-83.68,NSMN
Plant_Sciences_Research_Farm,Georgia AEMN,33.87,-83.54,NSMN
Plant_Wansley,Georgia AEMN,33.42,-85.06,NSMN
Ponder_Farm,Georgia AEMN,31.51,-83.65,NSMN
Richard_B._Russell_Dam_and_Lake,Georgia AEMN,34.02,-82.61,NSMN
Satilla_Blueberry_Farm,Georgia AEMN,30.96,-81.77,NSMN
Seldom_Rest_Farm,Georgia AEMN,30.96,-84.95,NSMN
Seminole_State_Park,Georgia AEMN,30.81,-84.88,NSMN
Southeast_Georgia_Research_and_Education_Center,Georgia AEMN,32.88,-82.22,NSMN
Southwest_Georgia_Research_and_Education_Center,Georgia AEMN,32.05,-84.37,NSMN
Stanley_Farms,Georgia AEMN,32.14,-82.35,NSMN
Stripling_Irrigation_Research_Park,Georgia AEMN,31.28,-84.29,NSMN
Sunbelt_Agricultural_Exposition,Georgia AEMN,31.15,-83.72,NSMN
Sunny_View_Farms,Georgia AEMN,31.78,-85.06,NSMN
T_Brim_Farm,Georgia AEMN,31.71,-84.37,NSMN
Telfair_County_Jaycees_Fairground,Georgia AEMN,32.08,-82.9,NSMN
The_Beach_at_Clayton_County_International_Park,Georgia AEMN,33.52,-84.31,NSMN
The_Georgia_FFA-FCCLA_Center,Georgia AEMN,33.44,-83.84,NSMN
The_Landings_on_Skidaway_Island,Georgia AEMN,31.95,-81.04,NSMN
Three_Sisters_Vineyards,Georgia AEMN,34.61,-83.88,NSMN
Thurmond_Dam_and_Lake,Georgia AEMN,33.66,-82.19,NSMN
Tiger_Mountain_Orchards,Georgia AEMN,34.85,-83.43,NSMN
Tony_Smith_Farms,Georgia AEMN,31.35,-84.63,NSMN
Twiggs_County_Comprehensive_Middle_High_School,Georgia AEMN,32.68,-83.36,NSMN
UGA_Costa_Rica_Campus,Georgia AEMN,10.28,-84.8,NSMN
USDA-ARS._National_Peanut_Research_Lab,Georgia AEMN,31.76,-84.44,NSMN
USDA-ARS_Southeastern_Fruit_&_Nut_Tree_Laboratory,Georgia AEMN,32.66,-83.74,NSMN
Washington_County_Farm_Bureau_Ag_Center,Georgia AEMN,32.93,-82.8,NSMN
Wight_Nurseries,Georgia AEMN,30.86,-84.23,NSMN
ZBLU_Berry_Farms,Georgia AEMN,31.18,-82.01,NSMN
Belleville,Illinois CN,38.518,-89.842,NSMN
Big_Bend,Illinois CN,41.634,-90.039,NSMN
Bondville,Illinois CN,40.053,-88.372,NSMN
Brownstown,Illinois CN,38.949,-88.96,NSMN
Carbondale,Illinois CN,37.7,-89.244,NSMN
Champaign,Illinois CN,40.084,-88.24,NSMN
DeKalb,Illinois CN,41.842,-88.851,NSMN
Dixon_Springs,Illinois CN,37.437,-88.667,NSMN
Fairfield,Illinois CN,38.382,-88.39,NSMN
Freeport,Illinois CN,42.28,-89.673,NSMN
Monmouth,Illinois CN,40.933,-90.724,NSMN
Olney,Illinois CN,38.738,-88.103,NSMN
Peoria,Illinois CN,40.709,-89.511,NSMN
Perry,Illinois CN,39.806,-90.824,NSMN
Rend_Lake,Illinois CN,38.136,-88.923,NSMN
Snicarte,Illinois CN,40.106,-90.182,NSMN
Springfield,Illinois CN,39.727,-89.611,NSMN
St._Charles,Illinois CN,41.905,-88.361,NSMN
Stelle,Illinois CN,40.95,-88.159,NSMN
Orr_Center_(Perry),Illinois CN,39.8,-90.83,ISMN
Perry,Illinois CN,39.806,-90.824,ISMN
Monmouth,Illinois CN,40.92,-90.73,ISMN
Snicarte,Illinois CN,40.106,-90.182,ISMN
Oak_Run,Illinois CN,40.97,-90.15,ISMN
Big_Bend,Illinois CN,41.634,-90.039,ISMN
Topeka,Illinois CN,40.3,-89.9,ISMN
Belleville,Illinois CN,38.52,-89.88,ISMN
Freeport,Illinois CN,42.28,-89.67,ISMN
Springfield,Illinois CN,39.52,-89.62,ISMN
Peoria,Illinois CN,40.7,-89.52,ISMN
Carbondale,Illinois CN,37.72,-89.23,ISMN
Brownstown,Illinois CN,38.95,-88.95,ISMN
Rend_Lake,Illinois CN,38.136,-88.923,ISMN
Rend_Lake_(Ina),Illinois CN,38.13,-88.92,ISMN
DeKalb,Illinois CN,41.842,-88.851,ISMN
De_Kalb,Illinois CN,41.85,-88.85,ISMN
Dixon_Springs-Bare,Illinois CN,37.45,-88.67,ISMN
Dixon_Springs-Grass,Illinois CN,37.45,-88.67,ISMN
Dixon_Springs,Illinois CN,37.437,-88.667,ISMN
Fairfield,Illinois CN,38.38,-88.38,ISMN
St._Charles,Illinois CN,41.905,-88.361,ISMN
Champaign,Illinois CN,40.08,-88.23,ISMN
Bondville,Illinois CN,40.05,-88.22,ISMN
Stelle,Illinois CN,40.95,-88.17,ISMN
Olney,Illinois CN,38.73,-88.1,ISMN
Adel,Iowa EM,41.59,-94.13,NSMN
Ames_ISU_AEA_AgFarm,Iowa EM,42.02,-93.77,NSMN
Ames_ISU_Hort_Farm,Iowa EM,42.11,-93.58,NSMN
Ames_ISU_Hort_Farm_(Vineyard),Iowa EM,42.11,-93.59,NSMN
Bankston_-_Park_Farm_Winery_(Vineyard),Iowa EM,42.52,-90.91,NSMN
Calumet,Iowa EM,42.93,-95.54,NSMN
Castana,Iowa EM,42.06,-95.83,NSMN
CEA_Site_near_Ocheyedan,Iowa EM,43.37,-95.64,NSMN
Cedar_Rapids,Iowa EM,41.91,-91.62,NSMN
Chariton,Iowa EM,40.97,-93.42,NSMN
Crawfordsville,Iowa EM,41.19,-91.48,NSMN
Doon,Iowa EM,43.3,-96.19,NSMN
Glenwood_-_Blackwing_Vineyard,Iowa EM,41.04,-95.77,NSMN
Greenfield,Iowa EM,41.28,-94.45,NSMN
Inwood_-_Calico_Skies_Winery,Iowa EM,43.31,-96.5,NSMN
Kanawha,Iowa EM,42.92,-93.79,NSMN
Lewis,Iowa EM,41.31,-95.17,NSMN
Muscatine,Iowa EM,41.36,-91.13,NSMN
Nashua,Iowa EM,42.94,-92.57,NSMN
Newell,Iowa EM,42.59,-95.01,NSMN
Oskaloosa_Tassel_Ridge_(Vineyard),Iowa EM,41.32,-92.65,NSMN
Wellman,Iowa EM,41.48,-91.87,NSMN
West_Point,Iowa EM,40.76,-91.42,NSMN
Inwood_-_Calico_Skies_Winery,Iowa EM,43.31,-96.5,ISMN
Doon,Iowa EM,43.3,-96.19,ISMN
Castana,Iowa EM,42.06,-95.83,ISMN
Glenwood_-_Blackwing_Vineyard,Iowa EM,41.04,-95.77,ISMN
CEA_Site_near_Ocheyedan,Iowa EM,43.37,-95.64,ISMN
Calumet,Iowa EM,42.93,-95.54,ISMN
Lewis,Iowa EM,41.31,-95.17,ISMN
Newell,Iowa EM,42.59,-95.01,ISMN
Greenfield,Iowa EM,41.28,-94.45,ISMN
Adel,Iowa EM,41.59,-94.13,ISMN
Kanawha,Iowa EM,42.92,-93.79,ISMN
Ames_ISU_AEA_AgFarm,Iowa EM,42.02,-93.77,ISMN
Ames_ISU_Hort_Farm_(Vineyard),Iowa EM,42.11,-93.59,ISMN
Ames_ISU_Hort_Farm,Iowa EM,42.11,-93.58,ISMN
Chariton,Iowa EM,40.97,-93.42,ISMN
Oskaloosa_Tassel_Ridge_(Vineyard),Iowa EM,41.32,-92.65,ISMN
Nashua,Iowa EM,42.94,-92.57,ISMN
Wellman,Iowa EM,41.48,-91.87,ISMN
Cedar_Rapids,Iowa EM,41.91,-91.62,ISMN
Crawfordsville,Iowa EM,41.19,-91.48,ISMN
West_Point,Iowa EM,40.76,-91.42,ISMN
Muscatine,Iowa EM,41.36,-91.13,ISMN
Bankston_-_Park_Farm_Winery_(Vineyard),Iowa EM,42.52,-90.91,ISMN
Ashland_Bottoms,Kansas Mesonet,39.126,-96.637,NSMN
Butler,Kansas Mesonet,37.804,-96.883,NSMN
Cairo,Kansas Mesonet,37.65,-98.555,NSMN
Cherokee,Kansas Mesonet,37.199,-94.981,NSMN
Cheyenne,Kansas Mesonet,39.633,-101.816,NSMN
Clay,Kansas Mesonet,39.418,-97.14,NSMN
Colby,Kansas Mesonet,39.392,-101.069,NSMN
Cullison,Kansas Mesonet,37.631,-98.905,NSMN
Garden_City,Kansas Mesonet,37.993,-100.812,NSMN
Grant,Kansas Mesonet,37.673,-101.372,NSMN
Gray,Kansas Mesonet,37.792,-100.297,NSMN
Great_Bend,Kansas Mesonet,38.364,-98.765,NSMN
Greensburg,Kansas Mesonet,37.603,-99.293,NSMN
Gypsum,Kansas Mesonet,38.725,-97.444,NSMN
Hamilton,Kansas Mesonet,37.996,-101.865,NSMN
Harper,Kansas Mesonet,37.065,-98.085,NSMN
Harvey,Kansas Mesonet,38.141,-97.642,NSMN
